tweet_id,text,location,date
1630362212463255552,"@Ajadedlady2 @LloydOsten @MadScientistFF @moreno_javierm Oh trust me I lived in VA and WA state also, and I love th… https://t.co/ZE7GnaKV1v","Plantation, FL",2023-02-28
1630361900310487041,"THEFT - COLD at 0 NE MORRIS ST, PORT [Portland Police #PP23000053207] 15:31 #pdx911","Portland, OR",2023-02-28
1630361899140526080,"THEFT - COLD at 1200 NW OVERTON ST, PORT [Portland Police #PP23000052917] 15:45 #pdx911","Portland, OR",2023-02-28
1630361230178148358,@ChadDickens4 Is it too cold for you grandpa?,"Mississippi, USA",2023-02-28
1630360877948973058,@MiaOBrienTV after the age of 30 I had mine out it was brutal. I would suggest nothing extremely cold because it hu… https://t.co/YHBwO0JXwb,"Florida, USA",2023-02-28
1630360667051143173,All Bars should be required to keep the don Julio in the fridge cause why is it not cold 😩,"Phoenix, AZ",2023-02-28
1630359864089223168,Lanett getting set to face Cold Springs in the @AHSAAUpdates 2A semifinals! https://t.co/XPjnQniaPG,Legacy Arena at the Bjcc,2023-02-28
1630359742030790658,Time for the @LanettPanthers Girls to hit the floor at @LegacyArena! Lanett is facing off with Cold Springs in the… https://t.co/RzPb7fvkVm,Legacy Arena at the Bjcc,2023-02-28
1630359720660811777,I see tons of people post their replies to their cold email outreaches with people complimenting their message. Bro… https://t.co/N4ha6sxiDO,"Markham, Ontario",2023-02-28
1630359507523059712,"The next system arrives late Tuesday into Wednesday. It will bring more precipitation, this time primarily in the f… https://t.co/3638gstupA","Fargo, ND",2023-02-28
1630358403666305025,@fuckedupfoods Mmm my favorite hot &amp; cold snack,"Anaheim, CA",2023-02-28
1630358144139378740,"@ModernWarzone MW 2019 had issues, but MW2 has had nearly as many bugs as Cold War.","Michigan, USA",2023-02-28
1630358046600835076,@yorkiebabee Terrible. It certainly wasn’t blown out of proportion to her devastated parents. That’s some cold blooded admission from JMM.,"Texas, USA",2023-02-28
1630357552289415170,Cold Springs High game will be tipping off around 620.  @AHSAAUpdates,"Gardendale, AL",2023-02-28
1630356653404028929,@LAfromLINY BE WATCHFUL LATER..ON COLD SNOWY NIGHTS THE LONG ISLAND DEMON OF LIES GOES PROWLING AROUND...👹👹👹👻👻👻💀💀👽🦇… https://t.co/rEPl5jpBqK,"New Britain, CT",2023-02-27
1630356504913010689,@ThatEricAlper “Cold As Ice” by Foreigner.,"Cincinnati, OH",2023-02-27
1630356412063784961,It's actually snowing in NYC . It's not the nice fluffy stuff either. It's icy &amp; cold. Wonder if it's going to stic… https://t.co/go2gqsqR82,"Manhattan, NY",2023-02-27
1630356362323427328,"VEHICLE STOLEN - COLD at 4200 NE GLISAN ST, PORT [Portland Police #PP23000053139] 14:15 #pdx911","Portland, OR",2023-02-27
1630356279372967937,@azjimwoodny Will batteries be cheaper than eutectic plates for this purpose? I can’t find good data to make the co… https://t.co/ZwT1cyE3H6,"Tiburon, CA",2023-02-27
1630356062972022785,Cold brew is the superior brew imo,"Carson, CA",2023-02-27
1630355681500094465,Walked &amp; Got A Coffee ☕ &amp; Mom's Meds Was Kinda Cold &amp; Snowy But A Good Lil Walk. I'm Ready For Summer! https://t.co/8Q5BhduS2f,"Idaho Falls, ID",2023-02-27
1630354353197395969,"VEHICLE STOLEN - COLD at NW 4TH AVE / NW GLISAN ST, PORT [Portland Police #PP23000053142] 14:17 #pdx911","Portland, OR",2023-02-27
1630354351943299077,"ACCIDENT - HIT AND RUN - COLD at 1300 NW EASTMAN PKWY, GRSM [Gresham Police #PG23000008207] 14:50 #pdx911","Gresham, OR",2023-02-27
1630354012313645059,@theRLRyanAbalos @DrRickBooty @JoeTalkShow @ChuckCallesto Because he’s a gas attendant that stands out in the cold for hours on end,"Manhattan, NY",2023-02-27
1630353893308739585,Swedish Fish taste like if Luden's cough drop were chewy,"Benton, AR",2023-02-27
1630353823498915840,@anonymoose7777 I will let my breakfast go cold to spoonfeed a bite if my egg to my hamster.,"Federal Way, WA",2023-02-27
