tweet_id,text,location,date
1629986970607960071,And everyone should wear one on a plane not just because of covid but because of all the other illnesses being spre… https://t.co/km0COhGdzV,"Phoenix, AZ",2023-02-26
1629986231869136897,"@amandadavey23 Fever, chills and body aches?? I had that yesterday. Woke up today and was fine","New York, USA",2023-02-26
1629985901546819584,Whatever this head cold is… I wish it would go away🥺 https://t.co/eKXQV9ZxEm,"Tonawanda, NY",2023-02-26
1629985704871854081,"@MTFIII Dawg, she went from the feet up so he would feel all that. Cold blooded!","Los Angeles, CA",2023-02-26
1629985591835213825,"@mmorgenthau And the brothers who died in cold blood ? That’s the point, you are against violence or you are not.","Montréal, Québec",2023-02-26
1629985215471820802,I see Kyrie went cold too another reason to believe that Lakers team got so much better defensively https://t.co/pKol4Y16GN,"Michigan, USA",2023-02-26
1629985166989959170,"THEFT - COLD at 700 NW EASTMAN PKWY, GRSM [Gresham Police #PG23000008087] 15:17 #pdx911","Gresham, OR",2023-02-26
1629985089881882626,Getting ready for the xfinity race and playing a fun game of is it cold or still wet? 🫠,"Fontana, CA",2023-02-26
1630013292512161792,@0xGambitx @LADWP @MayorOfLA agreed! can’t get a hold of anyone and it gets so cold at night,"Los Angeles, CA",2023-02-27
1630013218239438850,@Jourden_ bruh not even. Play “hot n cold” because you're wrong when it’s right,"Reno, NV",2023-02-27
1630012945194254338,@ankurnagpal @KarToNYC91 @thesamparr how do you do this in freezing cold weather? 🥶,"Brooklyn, NY",2023-02-27
1630012887837077506,LBJ trying to muster up any injury to match MJ's flu game vibe. Smh bron https://t.co/MoZQ6fYUVC,"Milwaukee, WI",2023-02-27
1630012428271616000,"I look back at some of my private tweets &amp; I’m like, Damn! U were a heartless bitch! A cold piece of work for sure!","San Luis Obispo, CA",2023-02-27
1630012327386034176,@LindsayLCobb1 Cold in Eastern Oregon 🥶❄️ https://t.co/F6yxdn1Rif,"Burns, OR",2023-02-27
1630011841928888321,"ACCIDENT - HIT AND RUN - COLD at 1700 NE 125TH AVE, PORT [Portland Police #PP23000052187] 11:18 #pdx911","Portland, OR",2023-02-27
1630011773318225920,I’m like a little bug I immediately pass out if it’s too cold,"Cincinnati, OH",2023-02-27
1630011315325644800,@SenpaiGeeze True like you don’t know but you would assume if your asking this person is bc you two are on the same… https://t.co/wyCnSvZmbP,"Los Angeles, CA",2023-02-27
1630011069262331905,@audglachelle That concoction made her cough like she smoking weed 😆,"Dallas, TX",2023-02-27
1630009322531946502,@hosamindeed @USAmbIsrael The Israelis were driving in their car and a terrorist shot them in cold blood.,"Houston, TX",2023-02-27
1630009269327388672,"I don’t understand why so many people dislike the latest @MLB rule changes. 

The game seems to move faster, guys w… https://t.co/VNLT0aCfxp","Phoenix, AZ",2023-02-27
1630008865394761733,@appalachiabelle That cough syrup cover was the entirety of the second semester of my freshman year of HS,"Bellmawr, NJ",2023-02-27
1630008821103079424,Bro is my cold heart falling in love?,"Junction City, OR",2023-02-27
1630008716551663616,"@GoodyearBP @CleGuardians I had tickets, but it was too cold. Hopefully it’ll be better baseball weather tomorrow. Lol","Arizona, USA",2023-02-27
1630008463655944194,You’re right I do deserve Cold Stone tonight!!,"Washington, DC",2023-02-27
1630008319200067585,"THREAT - COLD at 400 S HAMILTON CT, PORT [Portland Police #PP23000052341] 16:25 #pdx911","Portland, OR",2023-02-27
1630007567718965251,"VANDALISM - COLD at 1200 SW COLUMBIA ST, PORT [Portland Police #PP23000052381] 16:00 #pdx911","Portland, OR",2023-02-27
1630007566284488706,"THEFT - COLD at 1200 NE WEIDLER ST, PORT [Portland Police #PP23000052396] 16:21 #pdx911","Portland, OR",2023-02-27
1630006490323902465,@michaelscat2 You have a cold,"New York, USA",2023-02-27
1630006124153016320,"I don’t understand why so many people dislike the latest @MLB rule changes. 

The game seems to move faster, guys w… https://t.co/nnRAC0JEw5","Phoenix, AZ",2023-02-27
1630005936042516480,Just out here working on my tan in February #Louisiana. Cold front = 67😎 https://t.co/5crC8aUzig,"Zachary, LA",2023-02-27
1630005296675569664,@EzPz206 @SoundersFC @sounderatheart 14 seasons in and Sounders still playing these bullshit games with kickoff tim… https://t.co/iatZzNGgPv,"Seattle, WA",2023-02-27
1630004762186768385,i can feel myself about to have a cold and im not happy about it,"Severn, MD",2023-02-27
